E42_FC_early	E42_FC_late	E42_FC_mid	E42_OC_early	E42_OC_late	E42_OC_mid	E77_FC_early	E77_FC_late	E77_FC_mid	E77_OC_early	E77_OC_late	E77_OC_mid
ADAM33	CPAMD8	EFNA3	LOC106998839	PSD3	LOC114673515	GRAMD2A	CD34	LOC114674288	GRID2IP	SNX10	
CDC42EP5	ROR2	RFLNA	LOC106998669	ESPN	EHHADH	ADAMTS17	LOC723314	ZNF474	LOC106997133	PDE7B	
PDGFRL	CDH11	HEPH	B3GAT1	PDE3B	MIR125B-2	GASK1B	MAMU-A3	CFAP46	LYN	FAM155A	
TEK	GPC6	SERPINH1	GABRB2	TMEM74	FEZF1	HMGA1	SLC7A8	P2RX6	NKD1	GABRA3	
PXDN	FLVCR2	PABPC4L	LOC114678756	GPT	SHISA6	LOXL1	TMIE	PROB1	SYT6	NPAS2	
LOC106995639	EYA1	LGI4	LOC699263	LOC106999283	MIR25	KCND2	CCN3	SGPP2	NDRG2	LOC107000333	
EHD2	FAM114A1	FLVCR2	LOC114678844	MFSD6	LOC106993889	PLCD3	FOS	FHAD1	STMN3	LOC106999276	
HTRA3	SLC41A1	FOXO1	KIF5A	BICDL1	MIR99A	LOC107000481	EFEMP1	GPR37	CPNE5	LOC114672715	
CARD10	DSE	BICC1	TCEAL6	LOC114677018	OPRD1	PIK3CD	C3H7orf57	C1QTNF6	SHANK2	OPRL1	
KCNE4	SHC1	ITGA5	LOC100430622	LOC114678697	LOC711872	HEXB	MAMU-AG	CFAP54	CTNNA2	ADAP1	
CAVIN2	GSX1	EGFL6	LOC114678852	RTN4RL2	LOC107001043	CPNE8	GPR179	LOC723314	HRK	SYN3	
GYPC	CAMK1D	PRKCH	PNOC	LOC114680342	SULT1A3	C1H1orf87	PECAM1	DHRS4	MYCL	SLC49A3	
PMEL	MDFI	COPZ2	LOC114679285	NPY	FSD1	MARCH4	DDR2	LOC717975	MAPK4	LOC696103	
CASP8	STAT6	KIAA1671	IL17F	ABCD2	MIR298	PDE1C	NGEF	EFCAB1	FGF11	LANCL3	
JAZF1	TBX18	SLC20A2	CLIC6	LOC106998802	LOC114671698	MAN2A1	FAM43A	TPPP	THPO	SPNS2	
CSPG4	PTK7	SCARA5	LOC107000531	TOX	LOC114677290	TRIM22	SHISA9	ANO4	LOC114676353	LOC114672449	
ADORA2A	IGFBP6	ADAMTS2	TRIM9	SH3GL2	NPAS1	RFTN1	CLRN1	RGS3	EAF2	MAP3K15	
CHAC1	RASD1	EYA1	LOC722291	LOC114678755	DUSP10	GPNMB	C13H2orf50	LOC718515	PNCK	LOC114670574	
ITIH3	SEMA5A	KLHL4	LOC114678697	LOC114679324	C7H15orf61	DNAH7	TH	SPARCL1	MYZAP	RNF125	
RAB11FIP1	VCAM1	AHNAK	ATP2B2	KCNK9	LOC100429518	CFAP43	KIAA1217	ATP12A	KCNB1	LOC114678988	
TNS1	FGD6	IGFBP6	HIST3H2BB	FOXO6	WNT3A	LOC696748	AHNAK2	KCNA1	KCNK2	PPFIBP2	
TCIM	UACA	PCDH19	LOC106997662	GPR85	LOC114674196	MEF2C	NWD1	PPL	IL27RA	LOC106999049	
TMEM132C	CCN4	CPAMD8	LOC114670014	LOXL4	LOC114671812	F2RL1	RAMP1	RGS22	RPH3AL	LOC107000660	
ARHGAP6	GHR	THBD	WSCD1	LOC100429866	LOC106992877	SCG2	SPAG8	LTBR	RASSF9	ZNF804A	
CCDC80	SLC20A2	C7	NPY	VXN	LOC106994123	HTATIP2	AMIGO2	LOC709988	LOC100427362	LOC106997133	
ZNF488	ADCYAP1	ZFHX3	ADM5	VSTM2B	LOC114678697	ZNF474	PTGDS	DSG2	G0S2	CALY	
GPC3	TPCN1	ACTA2	TSTD1	TMEM233	LOC106993731	TIMP2	PLP2	GPNMB	LOC100427759	DAPK2	
QPCT	SNAI2	CMTM7	HIST3H2A	AHRR	SLC30A3	CALB1	FHAD1	OLFML1	MTUS2	FA2H	
SEMA3C	B3GNT9	SLC6A17	NAT16	JPH1	GRID2IP	MAK	MT3	CNMD	LRRTM1	GRIK1	
SAMD5	HSPG2	RRBP1	LOC106997885	ALDOC	LOC107001044	ADAM9	NEK5	NTRK2	CACNA2D2	LOC114672716	
NAAA	S100A11	FZD10	LOC106994612	PLD5	KCNC4	PCDH20	CPT1A	ALS2CL	LOC106992877	CSPG4	
SH3BP4	ARHGAP31	CLIC2	LGR5	LOC106998671	LOC114671100	SPAG17	LAMB1	EFNA3	LOC114674069	TRIM47	
FAM129B	C1S	LOXL2	LOC114673538	ADAMTS19	LOC114677701	SLIT3	UNC5C	PDE5A	DISP3	SOX18	
NR2F2	KLF2	PCDH18	EXPH5	NR4A2	CCER2	VIM	MAMU-A	PMAIP1	SLC30A3	CDH13	
GUCY1B1	CRABP1	DAP	LOC114677726	ADCY1	LOC114673863	GNG11	PALMD	CEBPB	C5H4orf45	LOC106996332	
MAMU-E	LOC697564	CYP27A1	LGI2	ICA1	LOC107000995	TXLNB	KCNJ2	NHSL2	CD101	LOC114679353	
UNC5B	LOC694341	RHOJ	HTR2A	LOC706418	LOC114671387	CD34	SOCS3	PLEKHG4B	CMTM7	KCNN1	
CPEB2	MAN1C1	FBLN5	SNX22	NR2E1	LOC114679118	PCDH19	FOSL1	TTLL9	LOC107000595	ANO3	
HEYL	CRTAP	ITGA11	ASPDH	GPR17	DMRT3	METTL7B	LOC718515	NPTX2		NTSR2	
P4HA2	ACTA2	SEC24D	SCUBE1	RYR2	LOC106994920	ANKRD65	KCNJ4	DRC1		TNNT1	
DSE	COL4A6	ALDH1A3	KCNN1	SLCO1C1	LOC114672513	HACD4	RGS8	DNAAF1		A2ML1	
CPED1	FOXP1	CGNL1	SLCO1C1	DUOX1	LOC720058	HAP1	ADAMTS17	ST8SIA3		LGI3	
C1QTNF3	MMRN1	PLXDC2	KLF1	SEMA4A	SLA	CFAP45	PPIL6	CFAP65		S100A1	
PENK	PLXDC2	ITPRIPL2	KCNMA1	LOC106999378	LOC114671781	C1QL1	ITGAX	PSRC1		MTUS2	
CHSY3	PSAT1	TWIST1	DUSP10	LOC114678976	KCNJ5	ADAMTS4	SLC34A2	TEKT2		MATN2	
LOC709635	HEXB	FAM129A	LOC106999105	DIPK1C	LOC114670969	LOC107000366	HSD17B14	STRIP2		GPR39	
RUNX1	TNS1	VSTM4	PROKR2	VWA5B2	LOC114673582	NPY2R	PRICKLE2	LOC703298		GPR17	
EOGT	WNK4	MARC2	STAC	IL1RAPL2	LOC114679914	CAV1	PERP	CDH23		CRYAB	
CD109	PPM1H	LOC702037	GABRA3	CCDC9B	LOC114677732	PRSS23	GYPC	TH		LOC106999501	
MYADM	CACNG5	TESC	VSX2	CDH8	LOC114676575	TCEAL5	STK33	GMNC		LOC114673472	
LOC708725	TRIB3	LOC106997086	RSPO3	LOC114676996	SAP25	CDH18	TNFRSF10A	PPIL6		LOC106997013	
LAYN	BCAT1	SELENOP	FOXO6	NUDT14	LOC114674555	CAPN9	SKAP2	CASP8		NID2	
FOXP1	SULF2	P4HA3	LOC114678305	ADGRG6	LOC114673886	ADORA1	ODF3B	AHNAK		FZD9	
AKAP2	COL18A1	GDF15	LOC114673487	GPR158	THPO	FST	FNDC1	SUSD4		CCDC187	
S100A11-1	LRP1	PKDCC	LOC114670969	LOC114672336	ARID3C	PSD2	LRRC9	KANK2		MMD2	
FARP1	RHOC	LOC698300	CUX2	GABRA3	LOC114670420	GLIS3	CASZ1	GRIN3A		LOC714675	
PRX	KCNE4	FLI1	EOMES	RHBDL3	LOC114670702	CFAP46	ADORA1	DTHD1		SOX10	
OAF	CYP27A1	LOC114677661	LOC114671893	ARHGDIG	LOC114676599	CLRN1	TRPC4	DMRTA1		RTN4RL2	
GPRIN3	TRAM2	NR3C1	RAB11FIP4	LOC114678899	MIR18A	RIN1	SNTB1	CNR1		CHRNA4	
CRISPLD2	GPC3	PTGER4	CPNE4	RBFOX3	SELPLG	RIBC2	CYP21A2	COL4A6		LIMS2	
CEMIP	GLT8D2	PI16	LOC106997842	RTN4RL1	MYO5C	IQCA1	PPP1R1B	SFRP2		CPM	
INKA1	YBX3	PDGFD	ESAM	LOC114674196	MIR34A	LOC114676968	HAPLN1	ADAMTS1		SLC35F3	
KLF4	LOC114673061	CLEC11A	LOC114671787	RELL2	LOC106997312	SSTR3	LOC114673456	CFAP73		ABHD12B	
CGNL1	CTSC	EPSTI1	DIPK1C	CDS1	LOC114677893	TRIM5	JADE2	MYO5B		P2RX2	
UACA	WLS	SLIT2	LOC114670327	LOC114673458	SATB2	SLC38A11	TFPI2	LTBP2		B3GNT7	
SERPING1	TEK	KLF4	CD101	GSTT1	MIR221	GALNT17	XKRX	SPAG8		RTP1	
IL13RA1	ADAM33	LOC106995639	SLC24A4	KCNN1	LOC114675508	ABCB1	WNT16	LRAT		ALOXE3	
FRMD6	JAM3	LOC703708	MYCL	MIR125B-1	EPHA6	DMRTA1	TMEM200A	LOC106998916		LOC114671469	
CORO2A	NR2F2	HLF	ACKR1	LRTM2	HELT	SGMS2	SLC17A6	TNFRSF10A		LOC114673186	
TNMD	SRPX	NTRK2	SLCO4A1	LOC114673584	LOC106992728	SLC24A2	CFB	WDR72		BMP8B	
SNTB1	GRIN2C	FAM114A1	LOC107000192	ZNF804A	GABRA3	SVEP1	LOC106999235	LOC114672781		ATP6V1B1	
S100A11	TRIM38	FOXF2	LOC114673979	LOC114678834	RBFOX3	RUNX1	C5H4orf19	LRRC14B		LINGO1	
PPP1R3B	ZNF469	PTGIS	LCN12	ABCG4	LOC107000244	FABP3	P2RX6	CLCF1		PNCK	
SLC16A12	SDC1	SIX3	GABRB1	LOC114672408	LOC114670392	LOC114674450	PFKP	ODF3B		TNR	
FOXL1	APOE	MARVELD1	DYRK4	JPH3	ISLR2	DGKA	CYP3A5	CCDC39		LOC106997439	
IER5L	LOC720345	GPX8	LOC106993164	PROM2	C5H4orf45	IQCG	RBM20	PFKP		SYN2	
NXPH4	TMEM100	CYTL1	WIPF3	MAB21L2	LOC114672414	FAM43A	NFATC4	FAM43A		HMX1	
IGFBP7	EBF1	CARD10	WNT8B	PTPRN	CA8	F3	KIAA2012	PDLIM1		LOC114678879	
GFAP	HSPA12B	HEXB		LOC114670039	LOC114673316	IGF2	RSPH1	MAN1C1		EMILIN2	
GRASP	PPIC	LOC106992509		LOC106994361	LOC106999378	ECE1	EPHA6	CFAP74		LOC716072	
RFTN1	SPHK1	ERRFI1		LOC114679331	LOC114679928	ABCG2	RBM47	C16H17orf97		LOC701555	
GPNMB	P4HB	TM4SF1		LOC114677479	TRNAF-GAA	LOC114677018	ADAMTS14	RCAN2		BMP4	
CRLF1	ENPP1	FLT1		SLC9A2	IL17F	LTBR	BHLHE22	IL18		LOC114671318	
ECE1	MYL9	PPIC		PCDH15	SLC24A2	PTPRU	ICAM1	HAPLN1		CRB3	
FKBP7	WFIKKN2	NR2F2		SHD	MIR301B	ALK	CYSLTR2	ADAMTS17		CA10	
MDFI	TNFRSF19	NTN1		LOC106999376	PLCH2	NRN1	SLC16A5	TRIM22		LOC114674179	
GLT8D2	IL13RA1	FAP		ADAP1	LOC114670246	ADAM19	SYNDIG1	PLXNA4		SHROOM4	
RAPGEF5	SPSB1	ACVRL1		ANO3	LOC114671193	AHNAK	SLC22A18	CAPS		ATP2A3	
WNT5A	SRPX2	CASP8		PTK2B	SLC25A21	FOXJ1	LTBR	CFAP206			
ST14	ZCCHC24	PAPPA		N4BP3	WNT8B	COL12A1	C1H1orf194	PARVB			
CYP2C76	SIX1	HMCN1		LOC114672335	LOC114670659	LOC711803	SERPINE1	CASZ1			
EYA1	SLC2A12	ELF4		L3MBTL4	LOC114673622	CHPF	RIBC2	H19			
TGFBR2	KDR	TXNDC5		LOC114673974	TOX2	MAATS1	S100A6	DCDC2			
CEBPD	CKAP4	COL5A1		CAPN14	LOC107000059	CDKL1	INPP4B	PLEKHA7			
NQO1	FAM43A	COL4A1		LOC100425960	LOC114672514	LRRTM2	ISL1	CADM3			
GPX8	CTSK	SEMA5A		LOC106998841	LOC106995159	NEK11	TRIM5	ASS1			
HSPG2	ZIC3	FAM174B		LOC106994123	FILIP1	LOC114673714	CD74	C3H21orf62			
SCUBE3	CPED1	LY6E		SH2D3C	ABCB4	PLA2G7	CFAP74	TENM4			
FCGRT	SCPEP1	WNT5B		FAM184B	LOC114673876	AOX1	CNTN4	LOC100426310			
CTNNA3	SP100	APCDD1		GRB14	LOC106993522	SPAG1	PLEKHA7	SPTB			
ADAMTS4	SMAD3	ITGA10		LOC114673863	LOC114679939	LOXL4	LRRC71	LOXL1			
TBC1D2	ANKRD33B	WNK4		KCNQ4	LOC106993264	LOC723314	DHRS4	ITM2A			
TMED3	PDGFRL	OLFML1		LOC114671891	PHYHD1	ANXA3	PCBP3	SERPINA1			
LOC114677425	LOC696140	LEF1		NAT16	LOC106992473	ADAM12	WDR72	CCDC151			
COL5A3	ERRFI1	COL26A1		RASGEF1B	LOC114680503	CDKN1A	KANK3	SCNN1A			
LYPD6B	ZIC2	ARSI		CA10	ADRA2A	FBXO16	DNAH12	LOC100430406			
ADRA1D	SLC16A9	ADORA2A		ADAMTSL2	LOC107000220	HGF	FOXJ1	CYB561			
EFHD1	SCUBE3	ACTG2		LOC107000731	LOC114672436	ZMYND10	LOC106993811	HCN1			
BCAT1	RFLNA	SLC22A6		PTPRE	LOC100427362	TESC	SPAG6	SPINK2			
ITGBL1	EMILIN2	RAMP1		TTC9B	VSTM2B	DCDC1	METTL7B	IL13RA1			
ADAMTSL3	P4HA1	COL16A1		LOC114675185	NEUROG1	RSPH1	SLC24A2	SLC25A45			
PABPC4L	FLRT2	SLC7A2		RHOV	LOC114670525	DOCK2	AK9	MME			
COL15A1	PPFIBP1	RIN3		SHC4	LOC114674257	RELN	PRRX1	LOC711690			
ADGRE5	AJAP1	SQOR		HR	LOC114673090	LOC717975	C1H1orf87	GMPR			
MMP14	CDKN1C	SDC2		CCK	DHH	MAPRE3	EFCAB1	IGFBP3			
SOCS3	SLC7A2	PRICKLE1		CNTN5	LRRC7	LMCD1	CFAP77	REC8			
PLEKHA2	ELF4	LOC114670966		PPP1R16B	LOC114673538	PDE2A	ARMC4	VSIG8			
CDC42EP2	HERPUD1	PPP1R1B		RORB	LOC114676302	PLAU	ANKUB1	LOC114674294			
SQOR	PKP2	ALDH1A2		LOC114678313	BEND4	ASS1	CRTAC1	GALNT17			
PTH1R	MDK	TMEM200B		WNT3	LOC106997458	ADGRL4	LOC114670570	CYP21A2			
PRKCH	ADAMTSL3	ZNF423		CPLX1	PPFIA2	NRP1	TDGF1	SLC16A5			
OLFML2B	VGLL3	SPARC		LOC114676207	LOC114677871	SNAI2	C1QTNF1	ACKR1			
ITGA9	RBP1	WIPI1		RGS11	LOC114671604	XKRX	GMNC	SKAP2			
TMEM45A	ITPR3	ZNF503		KCNA4		TNFRSF10A	NTSR1	COL5A2			
FADS3	NPC2	GREB1		NANOS3		NPTX2	SDC4	EFCAB10			
TGFBI	PLD1	C19H19orf66		LOC114678852		LOC720502	F5	C15H9orf116			
LOC106995078	AKAP2	CDC42EP5		LOC716041		IQCK	RGS20	FNDC1			
FXYD5	PLAC9	RANBP3L		LOC114678756		EFCAB6	HGF	SUSD5			
NDRG1	CNN2	ITPR3		EHHADH		CFAP206	LOC106999978	LOC114669738			
ELK3	CRTAC1	FMOD		LOC106997116		PLAT	LRRC2	CERKL			
PDLIM1	PIEZO2	SNTB1		STX3		ENO4	ADRA1A	LOC114670499			
LOX	PTGIS	WNT6		LOC106998669		CCDC151	THBD	LRRC46			
LOC702037	FUCA1	S100A16		KCNH3		EPHA3	DBX2	SPA17			
CTSZ	CRIP1	LOC106999572		RGS4		P4HA3	ANO4	CACNA1F			
PLAGL1	COL8A1	MCTP2		LOC107001043		SORD	LAPTM5	GALNT15			
UST	LGR4	IGFBP7		LOC114673472		SH2D6	RARB	MMP19			
SEMA5A	GMDS	PLOD1		LOC114674555		ATP1A1	PLBD1	BGN			
PRICKLE2	CREB3L2	FREM1		ARPP21		PLEKHA6	BVES	BHMT			
CYTH3	IL4R	MCC		LOC114669962		GALNT7	LOC100430500	ARHGAP36			
AHR	BICC1	MMP2		PDIA2		DZIP1L	AKAP14	KLHL34			
KDELR3	BMP4	UACA		LOC114669772		CNTNAP1	LOC695267	TMEM176A			
LRIG3	KIRREL1	SPSB1		CLDN1		PREP	NEUROD6	CLDN23			
TIMP3	NUCB1	WNT11		LOC106998842		CEP126	LOC100424733	PECAM1			
LTBP2	DPF3	LHFPL2		NRIP3		TGFB3	MAATS1	CCDC81			
LGR4	COL27A1	PDGFRA		LOC114676424		LOC114676107	BARHL1	PLXDC1			
PRRX2	ARAP1	TFPI		IRX1		ARHGAP36	HS3ST3A1	EFCAB12			
GPX7	PHACTR2	AK5		ARID3C		HECW1	SGPP2	LOC106999410			
SPON2	TIMP3	ZNF469		KCNH1		SLIT2	EFCAB10	RASAL1			
MIR214	SYNPO2	PENK		GALNT9		MME	LOC720132	RSPH4A			
RHBDF1	ITPRIPL2	ZBTB7C		TTC36		CFAP52	MYO3A	ETV7			
CALU	MAN2A1	CTSH		LOC114671956		ADPRH	MAK	CALB1			
RYR2	RASGRF2	C1QTNF6		LOC106997312		MLF1	PDGFD	EFHB			
EVA1B	B2M	PPARGC1B		TRNAI-GAU		S100A6	CFAP206	CARD10			
SLC7A2	ATP1A2	IGFBP4		LRGUK		CFAP73	NELL1	RARRES2			
LRRC8C	MMP19	PIFO		LOC107000477		LOC106995279	LRAT	LGI4			
CCDC102A	ITGA11	CLEC3B		RTL9		APOBEC3F	IL20RA	C20H16orf86			
TLR4	MSX1	TEK		LOC106993090		SUSD5	LOC114669738	IL6R			
LOC697564	BNC2	C1S		OLFM3		SLC13A4	RASAL1	TCEAL5			
PALMD	EYA2	SFRP2		LOC114671100		PMP22	CAPSL	WNT8A			
LOC711820	CCDC3	TLR4		NHLH2		C2H3orf67	PTX3	ACKR3			
ADM	EPB41L2	LOC696748		SLC17A8		BCAS1	EGR2	TPD52L1			
IGFBP2	FOXD1	GMDS		LOC106997633		KCNE1	LOC114670842	RASEF			
FHL3	TMEM119	NHSL2		LOC114680033		DHRS4	C1S	CLRN1			
SPATS2L	COL4A2	SLC9A3R1		LOC114671921		ADAMTS1	LOC106998598	PLXND1			
PDE4A	SERPINA3	CCND1		C12H2orf80		SAMD12	TNFRSF1B	CRTAC1			
LAMA4	ADD3	B3GNT9		STYK1		SAMD15	MMP9	GCNT1			
NDUFA4L2	SPOCK2	ARSJ		LOC114679562		SCNN1A	TMEM266	FAM162B			
KCNE5	EFNA5	GHR		LOC100427524		SSX2IP	LOC706031	ILDR2			
LARP6	C1QTNF6	CPQ		LOC114673864		LOC106999235	LOC114669767	RNF144B			
FBLIM1	ANXA2	ST14		MIR124A-2		FAM78B	HRH1	BTN3A3			
GSTO1	FRAS1	TGFBR3		RND1		NDST3	GMPR	LOC114672120			
SH3BP5	LOC106997086	CTSZ		MIR135A-1		CCDC39	CD1D	PITPNM1			
TFAP2A	SMCO3	ZMAT4		GABRQ		DSC2	HSD11B2	MEIG1			
GASK1B	EMP3	HMOX1		LOC114676797		TPD52L1	LRRC56	LMCD1			
GSN	TRIM5	PTPRJ		GABRG1		LOC695267	KIAA1257	TMIE			
TENT5B	PLXDC1	ADCYAP1		TSTD1		TSNAXIP1	LOC114671505	CFAP100			
LOC711803	BACE2	ITM2A		CTXND1		NEFL	LOC114672866	TMEM200A			
TM4SF1	CLEC11A	PLXDC1		LOC114679924		DCDC2	TCAF2	BHLHE41			
FAM174B	PHLDB2	ARHGAP6		LOC106994684		DNAAF1	TFCP2L1	TES			
NT5C1A	LY6E	CCDC102B		KCNC4		PDE5A	LOC114672648	BTBD11			
SLC6A17	ADGRD1	SH3PXD2A		LOC106996139		TTC29	TMCO4	SMIM5			
C1QTNF5	ALCAM	CRTAP		LOC114670369		LOC114674294	MME	MCHR1			
CLMP	SDC2	VWA5B1		LOC106999105		PARVB	LOC709988	FXYD1			
PKNOX2	TENT5A	ALX3		LOC114677091		RASEF	RNF128	RIN1			
LUM	FIBIN	PLAC9		LOC114675330		ARSE	KRT18	HACD4			
LOC698693	RCN1	TRH		SLC28A1		FHAD1	GEM	LEF1			
CAVIN1	CALU	PLAT		BTC		SH3TC2	CFAP99	ERVMER34-1			
PDE8A	COL8A2	FMO4		LIN7B		LOC106994431	C13H2orf70	COL6A3			
FMN1	MYADM	RGL1		SV2B		TES	LOC114673507	OLFML3			
SDC1	WIPI1	FAM20A		BCAS1		OTX2	PAK6	GYPC			
LSP1	SLC1A5	COL8A2		EPHA10		CCDC80	IL6R	NHS			
SGMS2	TWIST1	TGFB3		CHRNA4		ITGA4	NPPA	CHRNA3			
LPP	CEBPB	ZCCHC24		LOC106999831		B3GALT5	ELF4	ANKRD66			
MCTP2	CAV1	AKAP2		PTCHD1		ANO1	COCH	ADORA1			
PARVB	PTPN14	GJA1		LOC701301		LOC702037	OLFML3	SLIT3			
P4HB	RHOJ	OAF		LOC114677537		MYCBPAP	PIH1D3	SDC4			
GMDS	BRINP1	PPEF1		SYCE1L		SLC8A3	LOC106999866	STAC			
RARRES2	NUCB2	KIRREL1		CCKBR		ANKUB1	BTN3A3	MAPK15			
PLAU	SMOC2	PRICKLE2		LAG3		IL18	RGS4	CEMIP			
GRIN2C	CCDC8	SLC13A4		LOC106998197		SDC2	PCK2	RELN			
CALHM5	HCN1	GPNMB		LOC709431		SLC9A7	PTCHD1	TFPI2			
CMTM7	MAB21L1	CDH3		LOC114678209		TMC6	IFI30	STBD1			
ZNF469	TUBB6	LOC106995078		AMH		USP51	SERPINA3	FAM183A			
TNFRSF1A	TMEM45A	CD109		LOC106997165		CRYM	SMOC2	RAB44			
EPSTI1	ITGA10	CALCRL		LOC107000856		ATP10A	ETV4	KCNJ2			
PCDH19	ADGRA2	FOXP2		FGF13		DPY19L1	SPA17	TNFAIP2			
FOXC2	PTPN13	SPTLC3		KANK3		AHRR	SPATA17	SLC13A4			
ANXA2	GPR37	TG		LOC114679902		TNC	ARHGAP24	JADE2			
DRC1	ADORA2B	IL34		LOC106999126		SHC1	NMBR	SNTB1			
PQLC3	GDF10	ABI3BP		LOC106997323		LCTL	APOL6	CD1D			
ABCG2	WNT4	CACNA1G		LOC114680383		C15H9orf116	LOC114671281	SRPX2			
ADAMTS1	PDE7B	RAMP2		HRH3		SCN9A	MYO7A	PLA2G3			
MEOX1	C7	MYADM		LOC114680258		CADM3	STK26	DNAH3			
TMBIM1	ADAMTS5	DKK2		STAC		TNFRSF11B	ALDH1A3	KIAA1211L			
RAB34	LEF1	SLIT3		ACTN2		ADRA1A	THEGL	PLAG1			
TRIM6	EPHX1	LOC114671882		LHX9		RIPPLY3	LOC106998916	ARHGAP22			
HEY2	CD63	LAMC3		LOC106998853		ABCB9	RARRES2	TXLNB			
TGFB1	ANO6	TGFBI		SYT4		GRM8	C20H16orf74	SLC6A15			
RRBP1	GRN	TNFRSF1B		LOC694004		IGF2BP2	NPTX1	LRRC56			
INPP4B	TAPBP	CAVIN2		BMP3		LOC114677661	CASP4	LSP1			
MYLIP	TGFB1	MAN1C1		BCO2		CLEC19A	CHRM4	GPRIN2			
SLFN12	PDZRN3	CTSK		GFRAL		RHOF	SLC25A45	LOC100424733			
ENPP1	AXL	ARAP1		KCNV1		LOC114669927	LOC114672428	STK32B			
ARHGAP10	LRRC75A	SOD3		AGT		ZNF385D	LOC106993502	ACTA2			
HEPH	QPRT	TLR6		ZAR1		LOC106992888	DOCK5	LOC694781			
MAP3K6	DOCK1	PAMR1		LOC106993857		CDHR1	ARPC1B	BHLHE40			
LMOD1	RBPMS	LGR4		LOC114680222		PLAG1	ANXA3	LOC114674450			
EMILIN2	ZNF488	MSRB3		LOC100429518		DNAH11	ZNF804B	BVES			
HSPA12B	OAF	SAMD5		DBNDD1		DAB2	PIEZO1	ITGB3			
C19H19orf12	MTHFD2	ASS1		MIR597		TTC16	LOC106999572	ELF4			
VASH2	LOC114677661	WIF1		LOC114669912		LOC114672648	PPP4R4	CASP4			
CSTA	COL11A1	HRH1		LOC114672436		LOC720132	TEKT2	LOC114674161			
FST	TRIM22	FOXC2		ASIC3		TEKT2	DIO2	SYTL5			
C1QTNF7	ELK3	TGFBR2		SLC9A4		SV2C	CFAP73	C1H1orf194			
TSPAN9	CTSL	ADAMTS14		RPRML		LOC707129	LOC114673002	ASB14			
AARS	PCDH19	LOC707383		LOC114676200		CD44	LOC114672781	PAMR1			
HERPUD1	ACTG2	GAL		NELL2		APOBEC3C	EPHA4	COPZ2			
LURAP1L	PCOLCE	ANXA1		SLCO4A1		ATP12A	LOC114674406	FOXD1			
PCDH18	ABCA9	OMD		MATK		LOC114669738	FAM83H	SMAD6			
IL4R	TMEM109	LOC114671723		LOC106998201		FBXL2	LOXHD1	LOC114673704			
CRIP1	YAP1	RREB1		LOC107000244		MBP	TBC1D8B	PHLDA3			
IL17RC	FAM20A	RCAN2		LOC107001032		DIRAS3	CFAP65	FOSL1			
NRIP2	ALPL	TRIM6		LY6G6C		SLC6A6	WDR38	ANXA3			
PLXND1	GDF15	RASD1		FAM110C		KCTD16	LHB	CCDC153			
FBN2	GPX7	ADD3		LOC114672293		DES	FAM183A	LOC106998598			
TRIM5	ARPC1B	CALB2		CD101		PRKCB	ARHGAP36	LOC100430473			
NHSL2	OMD	TIMP1		NR4A3		TENT5C	CCL2	ATP10A			
SLITRK6	SLIT3	ADAMTSL3		C15H9orf24		CRTAC1	LOC718900	LOC106993502			
LMCD1	MYH9	DES		LOC114671781		TAGLN	LSP1	DNAH7			
EVA1A	NTN1	UST		ZNF385B		THSD4	LOC114674450	TNFRSF10B			
CYP1B1	SELENOM	SRPX				CFAP74	DNAAF1	HIC1			
PDIA5	SERPINB9	IER5L				AHNAK2	OLFML1	RSPH14			
B3GNT8	ADAMTS4	TCIM				CEMIP	LOC711690	CPNE6			
EPHB4	PRSS35	HYDIN				PLXNA4	CTSV	FAM83H			
PPARGC1B	KIAA1671	ADAMTS17				KIRREL1	LOC106993196	LOC700241			
AGRN	GDPD5	GLIPR1				AKAP14	CLCF1	THEGL			
GP1BB	KLF5	PRDX4				DRD1	LOC114672120	ADAMTS14			
SELENOM	C20H16orf89	LOC114677425				TRIM6	LOC114676253	SLC38A11			
FOSL2	PDIA5	TBC1D8B				RET	VSIG8	LOC114671505			
ITM2C	LOC698354	EDN3				LRRC46	LOC107000366	SEMA3D			
ARHGAP29	KDELR2	EPB41L2				SLC25A45	MMP19	KLF5			
LPAR1	ABLIM3	C1QTNF7				APOBEC3H	LGI4	PDGFRL			
MARC2	TSKU	IFIT1				SYTL2	ONECUT1	MYO7A			
CCDC102B	C13H2orf40	MPZ				MAGIX	RASSF9	S100A6			
ASNS	TMOD3	LOC703224				GABRQ	PCP4	C1H1orf87			
TNS2	RAB34	CLEC1A				LOC114673456	BGN	WDR38			
RASD2	TBX15	ATP8B1				NKX2-2	LOC114672992	FN1			
CASP7	PAMR1	PKNOX2				ZNF185	RHOD	PPP1R32			
SLFN5	TMEM255B	LOC106998085				RASGEF1A	FAM162B	ALK			
PXDC1	CLIC2	FRRS1L				CLCF1	NHLH1	SPARC			
SHOX2	FHL3	RNASE4				FAM189A1	BHMT	SCN7A			
PPP1R14A	FOXP2	ACOT2				SLC9A2	CPNE8	KIF26B			
AHRR	ALX4	HTR6				MOCOS	RAB27A	DERL3			
PREP	LRRK1	CHST2				ARHGAP24	SEMA3C	RASGEF1A			
EDNRA	ANTXR1	WLS				ACHE	CFAP46	IL11RA			
DDIT3	UST	ADAMTSL1				ADH7	FOXD1	C4H6orf118			
KIT	DIRAS2	SERPIND1				ME1	ROBO4	TFCP2L1			
